Timestamp,Event,Image_File
2026-07-23_20-36-33,Motion Detected,captured_frames/intruder_2026-07-23_20-36-33.jpg
2026-07-23_20-36-39,Motion Detected,captured_frames/intruder_2026-07-23_20-36-39.jpg
2026-07-23_20-36-44,Motion Detected,captured_frames/intruder_2026-07-23_20-36-44.jpg
Timestamp,Event,Image_File
2026-07-25_21-01-49,Motion Detected,captured_frames/intruder_2026-07-25_21-01-49.jpg
